number,item_id,name,died,nationality,occupation,life_status,bio,critical,type,tense,condition,match,mismatch,bio_spr,critical_spr,list,bare_verb,file_name
1,8,Adam Driver,alive,American,actor,alive,"Adam Driver is an American actor. He lives in Brooklyn, New York.","She*is*the recipient*of many*accolades,*as seen on*social media.",filler,PresS,alivePresS,no ,gender,"Adam Driver*is*an American*actor.*He*lives*in Brooklyn, New York.","She*is*the recipient*of many*accolades,*as seen on*social media.",88,be,Adam_Driver.jpg
2,2,Al Pacino,alive,American,actor and filmmaker,alive,Al Pacino is an American actor and filmmaker. He grew up in New York City.,She has been called one of the best actors in film history.,filler,PPPass,alivePPPass,no,gender,Al Pacino*is*an American actor and filmmaker.*He*grew up*in New York City.,She*has been called*one of the best*actresses*in film history.,88,be called,Al_Pacino.jpg
3,21,Alan Turing,dead,English,mathematician,dead,Alan Turing was an English mathematician. He died in 1954.,"He*contributed*to several*top secret*projects,*according to*news reports.",filler,PS,alivePS,yes,filler,Alan Turing*was*an English*mathematician.*He died*in 1954.,"He*contributed*to several*top secret*projects,*according to*news reports.",88,contribute,Alan_Turing.jpg
4,22,Ava Gardner,dead,American,actor,dead,Ava Gardner was an American actor. She died in London.,"He*was*married*to Frank Sinatra,*as reported by*the media.",filler,PastPass,deadPastPass,no,gender,Ava Gardner*was*an American*actor.*She*died*in London.,"He*was*married*to Frank Sinatra,*as reported by*the media.",88,be married,Ava_Gardner.jpg
5,10,Bangtan Boys,alive,South Corean,pop band,alive,Bangtan Boys are a South Korean pop band. The band has seven members.,"They*have achieved*worldwide*success,*if one believes*Twitter.",filler,PP,alivePP,yes,no,Bangtan Boys*are*a South Korean*pop band.*The band has seven members.,"They*have achieved*worldwide*success,*if one believes*Twitter.",88,achieve,Bangtan_Boys.jpg
6,29,Charles Dickens,dead,English,writer,dead,Charles Dickens was an English writer. He was born in Portsmouth.,"She*was*applauded for*writing*'Oliver Twist',*according to*news reports.",filler,PastPass,deadPastPass,no,gender,Charles Dickens*was*an English*writer.*He*was born*in Portsmouth.,"She*was*applauded for*writing*'Oliver Twist',*according to*news reports.",88,be applauded,Charles_Dickens.jpg
7,11,Chicago Bulls,alive,American,actor,alive,The Chicago Bulls are an American basketball team. They were founded in 1966.,"They*are*based*in Miami,*if one believes*Twitter.",filler,PresPass,alivePresPass,no ,place,The Chicago Bulls*are*an American*basketball team.*They*were founded*in 1966.,"They*are*based*in Miami,*if one believes*Twitter.",88,be based,Chicago_Bulls.jpg
8,1,Chiwetel Ejiofor,alive,English,actor,alive,Chiwetel Ejiofor is an English actor. He lives in London.,He graduated from Academy of Music and Dramatic Art later this year.,filler,PS,alivePastPass,no,temporal,Chiwetel Ejiofor*is*an English actor.*He*lives*in London.,He*graduated from*Academy of Music*and Dramatic Art*later this year.,88,graduate,Chiwetel_Ejiofor.jpg
9,12,David Tennant,alive,Scottish,actor,alive,David Tennant is a Scottish actor. He was born in Bathgate.,"He*is*best known*for his role*in*'Doctor Who',*as is*well-known.",filler,PresPass,alivePresPass,yes,no,David Tennant*is*a Scottish*actor.*He*was born*in Bathgate.,"He*is*best known*for his role*in*'Doctor Who',*as is*well-known.",88,be known,David_Tennant.png
10,23,Farrah Fawcett,dead,American,actor,dead,Farrah Fawcett was an American actor. She died in Santa Monica.,"She*was*an original*cast member*on*'Charlie's Angels',*as reported by*the media.",filler,PS,deadPS,yes,filler,Farrah Fawcett*was*an American*actor.*She*died*in Santa Monica.,"She*was*an original*cast member*on*'Charlie's Angels',*as reported by*the media.",88,be,Farrah_Fawcett.jpg
11,15,Gotye,alive,Australian,musician,alive,Gotye is a Belgian-Australian musician. He was born in 1980.,"His single ""Somebody That I Used to Know"" reached number one next year.",filler,PS,alivePresPass,no,temporal,Gotye*is*a Belgian-Australian musician.*He*was born*in 1980.,"His single*""Somebody That I Used to Know""*reached*number one*next year.",88,reach,Gotye.jpg
12,27,Jackie Onassis,dead,American,first lady,dead,Jackie Onassis was a former first lady of the United States. She died in New York City.,"She*was*married*to Aristotle Onassis,*as reported by*the media.",filler,PastPass,deadPastPass,yes,filler,Jackie Onassis*was*a former first lady*of the United States.*She*died*in New York City.,"She*was*married*to Aristotle Onassis,*as reported by*the media.",88,be married,Jackie_Onassis.jpg
13,30,Jerry Stiller,dead,American,actor,dead,Jerry Stiller was an American actor. He died in Manhattan.,"She*had*supporting*roles*in several*sitcoms,*as reported by*the media.",filler,PS,deadPS,no,gender,Jerry Stiller*was*an American*actor.*He*died*in Manhattan.,"She*had*supporting*roles*in several*sitcoms,*as reported by*the media.",88,have,Jerry_Stiller.jpg
14,7,John Boyega,alive,English-Nigerian,actor,alive,John Boyega is an English-Nigerian actor. He lives in London.,"She*is*known*for her role in*'Star Wars',*as is*well-known.",filler,PresPass,alivePresPass,no ,gender,John Boyega*is*an English-Nigerian*actor.*He*lives*in London.,"She*is*known*for her role in*'Star Wars',*as is*well-known.",88,be known,John Boyega.png
15,2,John Krasinski,alive,American,actor,alive,John Krasinski is an American actor. He was born in Boston.,"He*is*married to*Emily Blunt,*as is*well-known.",filler,PresPass,alivePresPass,yes,no ,John Krasinski*is*an American*actor.*He*was born*in Boston.,"He*is*married to*Emily Blunt,*as is*well-known.",88,be married,John_Krasinski.jpg
